ensembl_id,entrez_id,hgnc_symbol,hgnc_name,cytogenetic_location,uni_protein_id,gene_biotype
ENSG00000265931,,,,,,
ENSG00000253252,,,,,,
ENSG00000215430,,,,,,
ENSG00000219712,,,,,,
ENSG00000176788,10409.0,BASP1,brain abundant membrane attached signal protein 1,5p15.1,P80723,protein_coding
ENSG00000231495,,,,,,
ENSG00000130340,51429.0,SNX9,sorting nexin 9,6q25.3,Q9Y5X1,protein_coding
ENSG00000115548,55818.0,KDM3A,lysine demethylase 3A,2p11.2,Q9Y4C1,protein_coding
ENSG00000258637,,,,,,
ENSG00000135363,4005.0,LMO2,LIM domain only 2,11p13,P25791,protein_coding
ENSG00000215193,55670.0,PEX26,peroxisomal biogenesis factor 26,22q11.21,A0A024R100,protein_coding
ENSG00000177673,165100.0,TEX44,testis expressed 44,2q37.1,Q53QW1,protein_coding
ENSG00000109736,10227.0,MFSD10,major facilitator superfamily domain containing 10,4p16.3,Q14728,protein_coding
ENSG00000248567,,,,,,
ENSG00000235613,,,,,,
ENSG00000253400,,,,,,
ENSG00000212289,,,,,,
ENSG00000204572,387273.0,KRTAP5-10,keratin associated protein 5-10,11q13.4,Q6L8G5,protein_coding
ENSG00000265487,,,,,,
ENSG00000233563,,,,,,
ENSG00000258967,,,,,,
ENSG00000139352,429.0,ASCL1,achaete-scute family bHLH transcription factor 1,12q23.2,P50553,protein_coding
ENSG00000124749,81578.0,COL21A1,collagen type XXI alpha 1 chain,6p12.1,A0A158RFW1,protein_coding
ENSG00000198704,257202.0,GPX6,glutathione peroxidase 6,6p22.1,P59796,protein_coding
ENSG00000105011,55723.0,ASF1B,anti-silencing function 1B histone chaperone,19p13.12,A0A024R7G4,protein_coding
ENSG00000137414,51439.0,FAM8A1,family with sequence similarity 8 member A1,6p22.3,A0A024R006,protein_coding
ENSG00000223004,,,,,,
ENSG00000216045,,,,,,
ENSG00000234219,,,,,,
ENSG00000252950,,,,,,
ENSG00000243658,,,,,,
ENSG00000154781,51244.0,CCDC174,coiled-coil domain containing 174,3p25.1,Q6PII3,protein_coding
ENSG00000163116,285555.0,STPG2,sperm tail PG-rich repeat containing 2,4q22.3-q23,Q8N412,protein_coding
ENSG00000259866,,,,,,
ENSG00000179253,,,,,,
ENSG00000168795,9925.0,ZBTB5,zinc finger and BTB domain containing 5,9p13.2,O15062,protein_coding
ENSG00000228345,,,,,,
ENSG00000182230,202134.0,FAM153B,family with sequence similarity 153 member B,5q35.2,D6RF84,protein_coding
ENSG00000136100,51028.0,VPS36,vacuolar protein sorting 36 homolog,13q14.3,Q86VN1,protein_coding
ENSG00000238871,,,,,,
ENSG00000225981,,,,,,
ENSG00000236364,,,,,,
ENSG00000151778,387923.0,SERP2,stress associated endoplasmic reticulum protein family member 2,13q14.11,Q8N6R1,protein_coding
ENSG00000241840,,,,,,
ENSG00000228540,,,,,,
ENSG00000127540,10975.0,UQCR11,"ubiquinol-cytochrome c reductase, complex III subunit XI",19p13.3,O14957,protein_coding
ENSG00000100504,5836.0,PYGL,glycogen phosphorylase L,14q22.1,P06737,protein_coding
ENSG00000252398,,,,,,
ENSG00000255446,,,,,,
ENSG00000100122,1414.0,CRYBB1,crystallin beta B1,22q12.1,P53674,protein_coding
ENSG00000109819,10891.0,PPARGC1A,PPARG coactivator 1 alpha,4p15.2,Q9UBK2,protein_coding
ENSG00000175319,,,,,,
ENSG00000235555,,,,,,
ENSG00000271157,,,,,,
ENSG00000205707,144363.0,ETFRF1,electron transfer flavoprotein regulatory factor 1,12p12.1,Q6IPR1,protein_coding
ENSG00000237236,,,,,,
ENSG00000270532,,,,,,
ENSG00000251056,,,,,,
ENSG00000168818,53407.0,STX18,syntaxin 18,4p16.3-p16.2,Q9P2W9,protein_coding
ENSG00000166707,644353.0,ZCCHC18,zinc finger CCHC-type containing 18,Xq22.2,P0CG32,protein_coding
ENSG00000236993,,,,,,
ENSG00000239189,,,,,,
ENSG00000177885,2885.0,GRB2,growth factor receptor bound protein 2,17q25.1,B0LPF3,protein_coding
ENSG00000242703,,,,,,
ENSG00000256812,84290.0,CAPNS2,calpain small subunit 2,16q12.2,Q96L46,protein_coding
ENSG00000215547,245929.0,DEFB115,defensin beta 115,20q11.21,Q30KQ5,protein_coding
ENSG00000183242,51352.0,WT1-AS,WT1 antisense RNA,11p13,,antisense
ENSG00000272137,,,,,,
ENSG00000232626,,,,,,
ENSG00000214322,,,,,,
ENSG00000269526,147664.0,ERVV-1,endogenous retrovirus group V member 1,19q13.41,B6SEH8,protein_coding
ENSG00000254424,,,,,,
ENSG00000235485,,,,,,
ENSG00000270035,,,,,,
ENSG00000259182,,,,,,
ENSG00000226498,,,,,,
ENSG00000233610,100129597.0,LINC00462,long intergenic non-protein coding RNA 462,13q14.2,,lincRNA
ENSG00000244482,79168.0,LILRA6,leukocyte immunoglobulin like receptor A6,19q13.42,U5XH19,protein_coding
ENSG00000234276,,,,,,
ENSG00000257392,,,,,,
ENSG00000249818,,,,,,
ENSG00000230284,,,,,,
ENSG00000171206,81603.0,TRIM8,tripartite motif containing 8,10q24.32,Q9BZR9,protein_coding
ENSG00000188811,387921.0,NHLRC3,NHL repeat containing 3,13q13.3,Q5JS37,protein_coding
ENSG00000271659,,,,,,
ENSG00000234175,,,,,,
ENSG00000254944,,,,,,
ENSG00000244578,103344930.0,LINC01391,long intergenic non-protein coding RNA 1391,3q22.3,,lincRNA
ENSG00000133069,9911.0,TMCC2,transmembrane and coiled-coil domain family 2,1q32.1,O75069,protein_coding
ENSG00000238900,,,,,,
ENSG00000102048,140462.0,ASB9,ankyrin repeat and SOCS box containing 9,Xp22.2,A0A024RBW7,protein_coding
ENSG00000223287,,,,,,
ENSG00000246250,,,,,,
ENSG00000259935,,,,,,
ENSG00000231266,,,,,,
ENSG00000249446,,,,,,
ENSG00000259656,,,,,,
ENSG00000215354,,,,,,
ENSG00000148136,138804.0,OR13C4,olfactory receptor family 13 subfamily C member 4,9q31.1,A0A126GVC9,protein_coding
ENSG00000264548,,,,,,
ENSG00000239710,,,,,,
ENSG00000011260,51096.0,UTP18,"UTP18, small subunit processome component",17q21.33,Q9Y5J1,protein_coding
ENSG00000233008,101927560.0,LOC101927560,uncharacterized LOC101927560,1p31.1,,lincRNA
ENSG00000125355,55026.0,TMEM255A,transmembrane protein 255A,Xq24,Q5JRV8,protein_coding
ENSG00000234952,,,,,,
ENSG00000249708,,,,,,
ENSG00000251884,,,,,,
ENSG00000232158,,,,,,
ENSG00000251218,101927845.0,LOC101927845,uncharacterized LOC101927845,8q24.22,,lincRNA
ENSG00000240521,,,,,,
ENSG00000197038,,,,,,
ENSG00000259477,,,,,,
ENSG00000238225,,,,,,
ENSG00000250900,,,,,,
ENSG00000251379,,,,,,
ENSG00000251510,,,,,,
ENSG00000144962,83893.0,SPATA16,spermatogenesis associated 16,3q26.31,A0A140VJV8,protein_coding
ENSG00000130182,84891.0,ZSCAN10,zinc finger and SCAN domain containing 10,16p13.3,Q96SZ4,protein_coding
ENSG00000212316,,,,,,
ENSG00000233751,,,,,,
ENSG00000207628,723779.0,MIR651,microRNA 651,Xp22.31,,miRNA
ENSG00000224656,,,,,,
ENSG00000167088,6632.0,SNRPD1,small nuclear ribonucleoprotein D1 polypeptide,18q11.2,P62314,protein_coding
ENSG00000242483,,,,,,
ENSG00000257569,,,,,,
ENSG00000265759,,,,,,
ENSG00000224479,,,,,,
ENSG00000225017,,,,,,
ENSG00000078304,5527.0,PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma,14q32.31,Q13362,protein_coding
ENSG00000235034,342918.0,C19orf81,chromosome 19 open reading frame 81,19q13.33,C9J6K1,protein_coding
ENSG00000211852,,,,,,
ENSG00000140522,6017.0,RLBP1,retinaldehyde binding protein 1,15q26.1,P12271,protein_coding
ENSG00000130956,22927.0,HABP4,hyaluronan binding protein 4,9q22.32,Q5JVS0,protein_coding
ENSG00000122952,11130.0,ZWINT,ZW10 interacting kinetochore protein,10q21.1,O95229,protein_coding
ENSG00000255183,105369423.0,LOC105369423,uncharacterized LOC105369423,11q14.2,,lincRNA
ENSG00000168282,4247.0,MGAT2,"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase",14q21.3,Q10469,protein_coding
ENSG00000099974,100037417.0,DDTL,D-dopachrome tautomerase like,22q11.23,A0A0F7RPW6,protein_coding
ENSG00000237707,101928596.0,LOC101928596,uncharacterized LOC101928596,1q24.2,,antisense
ENSG00000255858,,,,,,
ENSG00000271492,,,,,,
ENSG00000254544,,,,,,
ENSG00000222302,,,,,,
ENSG00000179071,220388.0,CCDC89,coiled-coil domain containing 89,11q14.1,Q8N998,protein_coding
ENSG00000233830,,,,,,
ENSG00000199585,,,,,,
ENSG00000225591,,,,,,
ENSG00000241429,,,,,,
ENSG00000252045,,,,,,
ENSG00000264804,,,,,,
ENSG00000261041,,,,,,
ENSG00000269358,,,,,,
ENSG00000186301,,,,,,
ENSG00000174403,,,,,,
ENSG00000236792,,,,,,
ENSG00000236863,,,,,,
ENSG00000123342,4327.0,MMP19,matrix metallopeptidase 19,12q13.2,Q99542,protein_coding
ENSG00000227484,,,,,,
ENSG00000239900,158.0,ADSL,adenylosuccinate lyase,22q13.1,P30566,protein_coding
ENSG00000186103,503582.0,ARGFX,arginine-fifty homeobox,3q13.33,A6NJG6,protein_coding
ENSG00000231509,,,,,,
ENSG00000265341,,,,,,
ENSG00000220537,,,,,,
ENSG00000238094,,,,,,
ENSG00000236136,,,,,,
ENSG00000199201,,,,,,
ENSG00000159251,70.0,ACTC1,"actin, alpha, cardiac muscle 1",15q14,B3KPP5,protein_coding
ENSG00000265521,100847055.0,MIR5697,microRNA 5697,1p36.22,,miRNA
ENSG00000110881,41.0,ASIC1,acid sensing ion channel subunit 1,12q13.12,A8K1U5,protein_coding
ENSG00000225477,,,,,,
ENSG00000104774,4125.0,MAN2B1,mannosidase alpha class 2B member 1,19p13.13,O00754,protein_coding
ENSG00000226975,,,,,,
ENSG00000196862,285190.0,RGPD4,RANBP2-like and GRIP domain containing 4,2q12.3,Q7Z3J3,protein_coding
ENSG00000213064,375035.0,SFT2D2,SFT2 domain containing 2,1q24.2,O95562,protein_coding
ENSG00000156958,2585.0,GALK2,galactokinase 2,15q21.1-q21.2,Q01415,protein_coding
ENSG00000118972,8074.0,FGF23,fibroblast growth factor 23,12p13.32,Q9GZV9,protein_coding
ENSG00000252697,,,,,,
ENSG00000240871,100132476.0,KRTAP4-7,keratin associated protein 4-7,17q21.2,,protein_coding
ENSG00000207397,,,,,,
ENSG00000139985,8747.0,ADAM21,ADAM metallopeptidase domain 21,14q24.2,Q9UKJ8,protein_coding
ENSG00000248531,,,,,,
ENSG00000254968,101928823.0,LOC101928823,uncharacterized LOC101928823,11q23.1,,lincRNA
ENSG00000271882,,,,,,
ENSG00000249899,,,,,,
ENSG00000237481,,,,,,
ENSG00000228092,,,,,,
ENSG00000219391,,,,,,
ENSG00000197747,6281.0,S100A10,S100 calcium binding protein A10,1q21.3,P60903,protein_coding
ENSG00000265033,,,,,,
ENSG00000229572,,,,,,
ENSG00000201326,100033799.0,SNORD115-22,"small nucleolar RNA, C/D box 115-22",15q11.2,,snoRNA
ENSG00000238366,,,,,,
ENSG00000152700,51128.0,SAR1B,secretion associated Ras related GTPase 1B,5q31.1,Q9Y6B6,protein_coding
ENSG00000237286,,,,,,
ENSG00000181163,4869.0,NPM1,nucleophosmin,5q35.1,A0A140VJQ2,protein_coding
ENSG00000257752,,,,,,
ENSG00000135862,3915.0,LAMC1,laminin subunit gamma 1,1q25.3,P11047,protein_coding
ENSGR0000168939,,,,,,
ENSG00000213559,,,,,,
ENSG00000264150,,,,,,
ENSG00000200478,100033815.0,SNORD115-41,"small nucleolar RNA, C/D box 115-41",15q11.2,,snoRNA
ENSG00000262366,,,,,,
ENSG00000228203,386597.0,RNF144A-AS1,RNF144A antisense RNA 1,2p25.1,,processed_transcript
ENSG00000169271,8988.0,HSPB3,heat shock protein family B (small) member 3,5q11.2,Q12988,protein_coding
ENSG00000229855,,,,,,
ENSG00000211956,,,,,,
ENSG00000060237,65125.0,WNK1,WNK lysine deficient protein kinase 1,12p13.33,Q9H4A3,protein_coding
ENSG00000119862,29094.0,LGALSL,galectin like,2p14,Q3ZCW2,protein_coding
ENSG00000210176,,,,,,
ENSG00000124212,5740.0,PTGIS,prostaglandin I2 synthase,20q13.13,Q16647,protein_coding
ENSG00000252717,,,,,,
ENSG00000224138,,,,,,
ENSG00000238959,,,,,,
ENSG00000227290,100505768.0,LINC01364,long intergenic non-protein coding RNA 1364,1p22.3,,lincRNA
ENSG00000202039,,,,,,
ENSG00000118903,,,,,,
ENSG00000266881,,,,,,
ENSG00000147378,89885.0,FATE1,fetal and adult testis expressed 1,Xq28,Q969F0,protein_coding
ENSG00000226711,440078.0,FAM66C,family with sequence similarity 66 member C,12p13.31,,antisense
ENSG00000173578,2829.0,XCR1,X-C motif chemokine receptor 1,3p21.31,P46094,protein_coding
ENSG00000177479,10425.0,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2,3p21.31,O95376,protein_coding
ENSG00000255215,,,,,,
ENSG00000230769,,,,,,
ENSG00000122122,54440.0,SASH3,SAM and SH3 domain containing 3,Xq26.1,O75995,protein_coding
ENSG00000183560,390243.0,IZUMO1R,"IZUMO1 receptor, JUNO",11q21,A6ND01,protein_coding
ENSG00000229234,,,,,,
ENSG00000183668,5678.0,PSG9,pregnancy specific beta-1-glycoprotein 9,19q13.31,B4DTI5,protein_coding
ENSG00000018625,477.0,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,1q23.2,A0A0S2Z3W6,protein_coding
ENSG00000135074,8728.0,ADAM19,ADAM metallopeptidase domain 19,5q33.3,Q8TBU7,protein_coding
ENSG00000133216,2048.0,EPHB2,EPH receptor B2,1p36.12,B4DSE0,protein_coding
ENSG00000221416,,,,,,
ENSG00000223392,100874194.0,CLDN10-AS1,CLDN10 antisense RNA 1,13q32.1,,antisense
ENSG00000173588,51134.0,CEP83,centrosomal protein 83,12q22,J3KNW7,protein_coding
ENSG00000227617,100861402.0,CERS6-AS1,CERS6 antisense RNA 1,2q24.3,,processed_transcript
ENSG00000199595,,,,,,
ENSG00000255102,,,,,,
ENSG00000258576,,,,,,
ENSG00000242121,,,,,,
ENSG00000178723,,,,,,
ENSG00000234139,,,,,,
ENSG00000258408,,,,,,
ENSG00000252466,100313840.0,MIR2115,microRNA 2115,3p21.31,,miRNA
ENSG00000273196,,,,,,
ENSG00000120509,51248.0,PDZD11,PDZ domain containing 11,Xq13.1,Q5EBL8,protein_coding
ENSG00000272396,,,,,,
ENSG00000229236,246119.0,TTTY10,"testis-specific transcript, Y-linked 10 (non-protein coding)",Yq11.223,,lincRNA
ENSG00000235231,,,,,,
ENSG00000268756,,,,,,
ENSG00000227365,,,,,,
ENSG00000144278,114805.0,GALNT13,polypeptide N-acetylgalactosaminyltransferase 13,2q23.3-q24.1,B3KY85,protein_coding
ENSG00000186532,114826.0,SMYD4,SET and MYND domain containing 4,17p13.3,Q8IYR2,protein_coding
ENSG00000254912,,,,,,
ENSG00000235424,,,,,,
ENSG00000248162,,,,,,
ENSG00000189144,126231.0,ZNF573,zinc finger protein 573,19q13.12,Q86YE8,protein_coding
ENSG00000238536,,,,,,
ENSG00000221182,,,,,,
ENSG00000239855,,,,,,
ENSG00000234394,440896.0,LOC440896,uncharacterized LOC440896,9p11.2,,lincRNA
ENSG00000261656,101927726.0,BEAN1-AS1,BEAN1 antisense RNA 1,16q21,,antisense
ENSG00000018610,63932.0,CXorf56,chromosome X open reading frame 56,Xq24,Q9H5V9,protein_coding
ENSG00000262172,,,,,,
ENSG00000238453,,,,,,
ENSG00000248840,,,,,,
ENSG00000221388,,,,,,
ENSG00000238987,,,,,,
ENSG00000241288,101927056.0,LOC101927056,uncharacterized LOC101927056,3q21.2,,processed_transcript
ENSG00000207450,,,,,,
ENSG00000272036,406931.0,MIR139,microRNA 139,11q13.4,,miRNA
ENSG00000265560,,,,,,
ENSG00000183423,345193.0,LRIT3,"leucine rich repeat, Ig-like and transmembrane domains 3",4q25,Q3SXY7,protein_coding
ENSG00000240175,100873983.0,MAGI1-AS1,MAGI1 antisense RNA 1,3p14.1,,antisense
ENSG00000236854,,,,,,
ENSG00000225937,50652.0,PCA3,prostate cancer associated 3 (non-protein coding),9q21.2,,antisense
ENSG00000168393,1841.0,DTYMK,deoxythymidylate kinase,2q37.3,P23919,protein_coding
ENSG00000222582,,,,,,
ENSG00000211848,,,,,,
ENSG00000114026,4968.0,OGG1,8-oxoguanine DNA glycosylase,3p25.3,E5KPN1,protein_coding
ENSG00000259565,,,,,,
ENSG00000177590,,,,,,
ENSG00000265087,,,,,,
ENSG00000090238,83719.0,YPEL3,yippee like 3,16p11.2,A0A024R624,protein_coding
ENSG00000228036,,,,,,
ENSG00000227036,400619.0,LINC00511,long intergenic non-protein coding RNA 511,17q24.3,,lincRNA
ENSG00000259054,105370400.0,LINC02332,long intergenic non-protein coding RNA 2332,14q11.2,,lincRNA
ENSG00000265425,,,,,,
ENSG00000248901,,,,,,
ENSG00000262601,,,,,,
ENSG00000188868,147837.0,ZNF563,zinc finger protein 563,19p13.2,Q8TA94,protein_coding
ENSG00000211667,,,,,,
ENSG00000161395,93210.0,PGAP3,post-GPI attachment to proteins 3,17q12,Q96FM1,protein_coding
ENSG00000126775,22863.0,ATG14,autophagy related 14,14q22.3,Q6ZNE5,protein_coding
ENSG00000250116,100506142.0,LOC100506142,uncharacterized LOC100506142,2p21,,antisense
ENSG00000205442,100129669.0,IZUMO3,IZUMO family member 3,9p21.3,S4R3E6,protein_coding
ENSG00000258911,,,,,,
ENSG00000166532,57494.0,RIMKLB,ribosomal modification protein rimK like family member B,12p13.31,Q9ULI2,protein_coding
ENSG00000141756,60681.0,FKBP10,FK506 binding protein 10,17q21.2,A0A024R1W3,protein_coding
ENSG00000163440,132954.0,PDCL2,phosducin like 2,4q12,Q8N4E4,protein_coding
ENSG00000013810,10460.0,TACC3,transforming acidic coiled-coil containing protein 3,4p16.3,Q9Y6A5,protein_coding
ENSG00000254785,,,,,,
ENSG00000254051,,,,,,
ENSG00000170425,136.0,ADORA2B,adenosine A2b receptor,17p12,P29275,protein_coding
ENSG00000265669,100616191.0,MIR548AJ1,microRNA 548aj-1,6q23.2,,miRNA
ENSG00000229537,,,,,,
ENSG00000125657,8744.0,TNFSF9,TNF superfamily member 9,19p13.3,A0A0U5J8I0,protein_coding
ENSG00000266391,,,,,,
ENSG00000139154,121536.0,AEBP2,AE binding protein 2,12p12.3,Q6ZN18,protein_coding
ENSG00000233385,,,,,,
ENSG00000189233,389643.0,NUGGC,"nuclear GTPase, germinal center associated",8p21.1,Q68CJ6,protein_coding
ENSG00000236213,,,,,,
ENSG00000271537,,,,,,
ENSG00000218730,,,,,,
ENSG00000236866,100996263.0,LOC100996263,uncharacterized LOC100996263,1p12,,antisense
ENSG00000134575,53.0,ACP2,"acid phosphatase 2, lysosomal",11p11.2,B7Z552,protein_coding
ENSG00000113916,604.0,BCL6,B-cell CLL/lymphoma 6,3q27.3,P41182,protein_coding
ENSG00000263674,,,,,,
ENSG00000134201,2949.0,GSTM5,glutathione S-transferase mu 5,1p13.3,P46439,protein_coding
ENSG00000201967,,,,,,
ENSG00000086205,2346.0,FOLH1,folate hydrolase 1,11p11.12,Q04609,protein_coding
ENSG00000112110,29074.0,MRPL18,mitochondrial ribosomal protein L18,6q25.3,Q9H0U6,protein_coding
ENSG00000207704,693130.0,MIR548D1,microRNA 548d-1,8q24.13,,miRNA
ENSG00000105327,27113.0,BBC3,BCL2 binding component 3,19q13.32,Q96PG8,protein_coding
ENSG00000055118,3757.0,KCNH2,potassium voltage-gated channel subfamily H member 2,7q36.1,A0A090N8Q0,protein_coding
ENSG00000114745,64689.0,GORASP1,golgi reassembly stacking protein 1,3p22.2,B3KPY8,protein_coding
ENSG00000160505,147945.0,NLRP4,NLR family pyrin domain containing 4,19q13.43,B2RCA1,protein_coding
ENSG00000227081,,,,,,
ENSG00000035403,7414.0,VCL,vinculin,10q22.2,A0A024QZN4,protein_coding
ENSG00000259542,,,,,,
ENSG00000199072,406888.0,MIRLET7F1,microRNA let-7f-1,9q22.32,,miRNA
ENSG00000100628,51676.0,ASB2,ankyrin repeat and SOCS box containing 2,14q32.12,A0A024R6E7,protein_coding
ENSG00000235329,,,,,,
ENSG00000210135,,,,,,
ENSG00000228837,,,,,,
ENSG00000207746,693160.0,MIR575,microRNA 575,4q21.22,,miRNA
ENSG00000254353,,,,,,
ENSG00000271136,,,,,,
ENSG00000240487,,,,,,
ENSG00000228592,266917.0,D21S2088E,D21S2088E,21q21.2,,lincRNA
ENSG00000270098,,,,,,
ENSG00000264222,,,,,,
ENSG00000250611,,,,,,
ENSG00000199015,494326.0,MIR377,microRNA 377,14q32.31,,miRNA
ENSG00000173726,9804.0,TOMM20,translocase of outer mitochondrial membrane 20,1q42.3,A0A024R3W2,protein_coding
ENSG00000211725,,,,,,
ENSG00000230119,,,,,,
ENSG00000160801,5745.0,PTH1R,parathyroid hormone 1 receptor,3p21.31,A0A024R2Z8,protein_coding
ENSG00000199514,,,,,,
ENSG00000233654,,,,,,
ENSG00000267054,,,,,,
ENSG00000267614,,,,,,
ENSG00000135048,23670.0,TMEM2,transmembrane protein 2,9q21.13,Q9UHN6,protein_coding
ENSG00000235013,,,,,,
ENSG00000238641,,,,,,
ENSG00000163950,7884.0,SLBP,stem-loop binding protein,4p16.3,B3KST9,protein_coding
ENSG00000251193,,,,,,
ENSG00000270824,,,,,,
ENSG00000197047,,,,,,
ENSG00000250830,,,,,,
ENSG00000229559,,,,,,
ENSG00000223136,,,,,,
ENSG00000266647,,,,,,
ENSG00000249023,,,,,,
ENSG00000112972,3157.0,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,5p12,A0A024R059,protein_coding
ENSG00000156500,159091.0,FAM122C,family with sequence similarity 122C,Xq26.3,Q6P4D5,protein_coding
ENSG00000244384,,,,,,
ENSG00000215942,,,,,,
ENSG00000251388,,,,,,
ENSG00000184571,440822.0,PIWIL3,piwi like RNA-mediated gene silencing 3,22q11.23,Q7Z3Z3,protein_coding
ENSG00000180773,120103.0,SLC36A4,solute carrier family 36 member 4,11q21,Q6YBV0,protein_coding
ENSG00000271011,,,,,,
ENSG00000152592,1758.0,DMP1,dentin matrix acidic phosphoprotein 1,4q22.1,Q13316,protein_coding
ENSG00000272810,,,,,,
ENSG00000101670,9388.0,LIPG,"lipase G, endothelial type",18q21.1,B4DTR8,protein_coding
ENSG00000263805,,,,,,
ENSG00000223750,,,,,,
ENSG00000244056,,,,,,
ENSG00000251577,,,,,,
ENSG00000140451,80119.0,PIF1,PIF1 5'-to-3' DNA helicase,15q22.31,Q9H611,protein_coding
ENSG00000215612,3166.0,HMX1,H6 family homeobox 1,4p16.1,F1T0J4,protein_coding
ENSG00000254752,,,,,,
ENSG00000242109,,,,,,
ENSG00000238966,,,,,,
ENSG00000182585,255324.0,EPGN,epithelial mitogen,4q13.3,Q6UW88,protein_coding
ENSG00000105197,92609.0,TIMM50,translocase of inner mitochondrial membrane 50,19q13.2,A0A024R0M6,protein_coding
ENSG00000173264,56834.0,GPR137,G protein-coupled receptor 137,11q13.1,Q96N19,protein_coding
ENSG00000167524,124923.0,SGK494,uncharacterized serine/threonine-protein kinase SgK494,17q11.2,L7N484,protein_coding
ENSG00000225568,,,,,,
ENSG00000263235,,,,,,
ENSG00000170234,114825.0,PWWP2A,PWWP domain containing 2A,5q33.3,Q96N64,protein_coding
ENSG00000078246,7289.0,TULP3,tubby like protein 3,12p13.33,O75386,protein_coding
ENSG00000184844,,,,,,
ENSG00000189298,80317.0,ZKSCAN3,zinc finger with KRAB and SCAN domains 3,6p22.1,Q9BRR0,protein_coding
ENSG00000158859,9507.0,ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,1q23.3,O75173,protein_coding
ENSG00000242094,,,,,,
ENSG00000146112,170954.0,PPP1R18,protein phosphatase 1 regulatory subunit 18,6p21.33,A0A024RCJ8,protein_coding
ENSG00000164743,157773.0,C8orf48,chromosome 8 open reading frame 48,8p22,Q96LL4,protein_coding
ENSG00000263575,100616288.0,MIR4665,microRNA 4665,9p24.1,,miRNA
ENSGR0000227159,,,,,,
ENSG00000135929,1593.0,CYP27A1,cytochrome P450 family 27 subfamily A member 1,2q35,Q02318,protein_coding
ENSG00000228222,,,,,,
ENSG00000134955,219855.0,SLC37A2,solute carrier family 37 member 2,11q24.2,Q8TED4,protein_coding
ENSG00000137216,55362.0,TMEM63B,transmembrane protein 63B,6p21.1,Q5T3F8,protein_coding
ENSG00000251748,,,,,,
ENSG00000226416,100133545.0,MRPL23-AS1,MRPL23 antisense RNA 1,11p15.5,,antisense
ENSG00000112902,9037.0,SEMA5A,semaphorin 5A,5p15.31,Q13591,protein_coding
ENSG00000226702,,,,,,
ENSG00000255444,,,,,,
ENSG00000165917,5913.0,RAPSN,receptor associated protein of the synapse,11p11.2,A0A0S2Z4F8,protein_coding
ENSG00000100721,8115.0,TCL1A,T-cell leukemia/lymphoma 1A,14q32.13,A0A024R6G5,protein_coding
ENSG00000225997,81315.0,OR4A8,olfactory receptor family 4 subfamily A member 8 (gene/pseudogene),11q11,,polymorphic_pseudogene
ENSG00000099251,158160.0,HSD17B7P2,hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2,10p11.1,,transcribed_unprocessed_pseudogene
ENSG00000219375,,,,,,
ENSG00000257004,,,,,,
ENSG00000180011,284273.0,ZADH2,zinc binding alcohol dehydrogenase domain containing 2,18q22.3,Q8N4Q0,protein_coding
ENSG00000232817,,,,,,
ENSG00000201048,,,,,,
ENSG00000228115,,,,,,
ENSG00000199814,,,,,,
ENSG00000161270,4868.0,NPHS1,"NPHS1, nephrin",19q13.12,O60500,protein_coding
ENSG00000182749,164091.0,PAQR7,progestin and adipoQ receptor family member 7,1p36.11,Q86WK9,protein_coding
ENSG00000255081,,,,,,
ENSG00000221123,,,,,,
ENSG00000229567,,,,,,
ENSG00000200975,,,,,,
ENSG00000211543,100302117.0,MIR320B1,microRNA 320b-1,1p13.1,,miRNA
ENSG00000231369,,,,,,
ENSG00000224417,,,,,,
ENSG00000231662,,,,,,
ENSG00000224012,,,,,,
ENSG00000223601,340900.0,EBLN1,endogenous Bornavirus-like nucleoprotein 1,10p12.31,P0CF75,protein_coding
ENSG00000261509,24150.0,TP53TG3,TP53 target 3,16p11.2,Q9ULZ0,protein_coding
ENSG00000087263,55239.0,OGFOD1,2-oxoglutarate and iron dependent oxygenase domain containing 1,16q13,Q8N543,protein_coding
ENSG00000197594,5167.0,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,6q23.2,P22413,protein_coding
ENSG00000157828,,,,,,
ENSG00000230394,,,,,,
ENSG00000271803,,,,,,
ENSG00000273051,,,,,,
ENSG00000273283,,,,,,
ENSG00000259250,,,,,,
ENSG00000142615,63036.0,CELA2A,chymotrypsin like elastase family member 2A,1p36.21,P08217,protein_coding
ENSG00000203305,,,,,,
ENSG00000271589,,,,,,
ENSG00000036257,8452.0,CUL3,cullin 3,2q36.2,B7Z600,protein_coding
ENSG00000267121,,,,,,
ENSG00000250354,,,,,,
ENSG00000204365,,,,,,
ENSG00000227399,,,,,,
ENSG00000250398,,,,,,
ENSG00000248883,,,,,,
ENSG00000214273,,,,,,
ENSG00000119979,404636.0,FAM45A,family with sequence similarity 45 member A,10q26.11,Q8TCE6,protein_coding
ENSG00000259191,,,,,,
ENSG00000261743,,,,,,
ENSG00000235436,442523.0,DPY19L2P4,DPY19L2 pseudogene 4,7q21.13,,transcribed_unprocessed_pseudogene
